iter	Logloss
121	0.5351245293
122	0.5348232689
123	0.5346045026
124	0.5343516502
125	0.5340555935
126	0.5337684522
127	0.5334703526
128	0.5330363326
129	0.5326771648
130	0.5324490309
131	0.5321291823
132	0.5317405155
133	0.5314488145
134	0.5312290085
135	0.5309873595
136	0.5307126167
137	0.5303133739
138	0.5299700595
139	0.5296568984
140	0.5294157364
141	0.5289946691
142	0.5286402576
143	0.5283897822
144	0.5280034163
145	0.527849106
146	0.5275036855
147	0.5271966414
148	0.5268910282
149	0.5266022424
150	0.5262747628
151	0.526001251
152	0.5256519912
153	0.5253744583
154	0.5251972804
155	0.5248125817
156	0.5245029704
157	0.524117761
158	0.5238619852
159	0.5235266786
160	0.5231450533
161	0.5227456628
162	0.5223802668
163	0.5220567016
164	0.5218265884
165	0.5215146508
166	0.5211914821
167	0.5208674884
168	0.5205429087
169	0.5202643888
170	0.5199187161
171	0.5195733608
172	0.519357928
173	0.518914086
174	0.5185616628
175	0.5181977341
176	0.5178524999
177	0.5176398535
178	0.5173171213
179	0.5169375059
180	0.5166183602
181	0.5162603536
182	0.5160616843
183	0.5156801964
184	0.5153447719
185	0.515008072
186	0.5148588032
187	0.5146762959
188	0.5146241667
189	0.5143472816
190	0.51399798
191	0.5137831369
192	0.5134536468
193	0.513190988
194	0.5128976172
195	0.512649623
196	0.5122731331
197	0.5119642613
198	0.5116196938
199	0.5114600482
200	0.5111013235
201	0.5108816509
202	0.5105776776
203	0.5103110439
204	0.5100714151
205	0.5097811709
206	0.509548161
207	0.5092802209
208	0.509093973
209	0.5087239012
210	0.5084459002
211	0.5083630398
212	0.5081581248
213	0.5078257877
214	0.5075124294
215	0.5071947123
216	0.5069325053
217	0.5066110085
218	0.5063705605
219	0.5060896954
220	0.5058503551
221	0.5055328818
222	0.5053656854
223	0.5052381365
224	0.5050075882
225	0.5047605639
226	0.5045239165
227	0.5042583397
228	0.5039246154
229	0.5037834331
230	0.5036188933
231	0.5033504882
232	0.50308523
233	0.5028287891
234	0.5024605277
235	0.5023461613
236	0.5020443922
237	0.5017750536
238	0.5014340832
239	0.5012690432
240	0.5009638976
241	0.5007594387
242	0.5004887856
243	0.5003510644
244	0.5000527584
245	0.4998055271
246	0.4994835452
247	0.4992218556
248	0.4989374489
249	0.4986598316
250	0.4983169108
251	0.4980727633
252	0.4978300226
253	0.4975159987
254	0.497179036
255	0.4968838239
256	0.4966856305
257	0.4963757553
258	0.4960556834
259	0.4958268024
260	0.4956404028
261	0.4953721323
262	0.4951503722
263	0.4948670714
264	0.4945913921
265	0.4942774371
266	0.493995622
267	0.4937606139
268	0.493581297
269	0.4932448243
270	0.4929164788
271	0.4927243707
272	0.4925190884
273	0.4923004101
274	0.4920182548
275	0.4917567966
276	0.4914346505
277	0.4912344236
278	0.4909647199
279	0.4907128818
280	0.4904632146
281	0.4901062681
282	0.4898475913
283	0.489562114
284	0.4892609964
285	0.4890472402
286	0.4887354323
287	0.4884112837
288	0.4881604182
289	0.4879094613
290	0.4876163982
291	0.4874135612
292	0.4871876252
293	0.4869210466
294	0.486743979
295	0.4865370331
296	0.4862076655
297	0.4860040429
298	0.4856482926
299	0.4853649271
300	0.4850801622
301	0.4848087389
302	0.4845038738
303	0.484300619
304	0.4841271441
305	0.4839751512
306	0.4836563139
307	0.4833821732
308	0.4830857561
309	0.4827890847
310	0.4825042571
311	0.4822781275
312	0.4819797443
313	0.4817929632
314	0.4815436821
315	0.4814833616
316	0.481193175
317	0.4808970132
318	0.4807089845
319	0.4803938402
320	0.4801819291
321	0.4799462486
322	0.4796823487
323	0.4794979693
324	0.4791932239
325	0.478975667
326	0.4787411465
327	0.4784924944
328	0.4783200439
329	0.4782366868
330	0.4779521081
331	0.4776520974
332	0.4773806299
333	0.4771320141
334	0.4768750679
335	0.4767016698
336	0.4765022054
337	0.4761951693
338	0.4759547575
339	0.4756471596
340	0.4753984859
341	0.4752184565
342	0.4749692908
343	0.4746982315
344	0.4744061907
345	0.4741987661
346	0.4738926704
347	0.4736025117
348	0.4732908926
349	0.4730158599
350	0.4728256778
351	0.4725588132
352	0.4723595745
353	0.4721073177
354	0.4718641715
355	0.4715684128
356	0.471396201
357	0.4711797478
358	0.4709364003
359	0.4706494723
360	0.470439127
361	0.4702282745
362	0.4699795291
363	0.4697406142
364	0.4695188048
365	0.4692243901
366	0.4690057596
367	0.4688770489
368	0.4686411908
369	0.4684537736
370	0.4682507958
371	0.4680378207
372	0.4677730215
373	0.467543214
374	0.4672764154
375	0.4670493623
376	0.4667906874
377	0.4665045676
378	0.4663681637
379	0.4661370695
380	0.4659424884
381	0.4657278662
382	0.4655694565
383	0.4653382994
384	0.4651522077
385	0.4649564198
386	0.4646704794
387	0.4644432904
388	0.4642077751
389	0.464060801
390	0.4637862337
391	0.4635435062
392	0.4632729966
393	0.4630472908
394	0.4628690254
395	0.4626518559
396	0.4623913891
397	0.4621657824
398	0.4619537881
399	0.4617514404
400	0.4615223752
401	0.4614221215
402	0.4611652297
403	0.460860201
404	0.4605481649
405	0.4603641932
406	0.4601505397
407	0.4599608175
408	0.4597170037
409	0.4594690806
410	0.4592726302
411	0.4590771608
412	0.4588093348
413	0.4585805361
414	0.4583107352
415	0.4580949759
416	0.4578908851
417	0.4577594676
418	0.4575164829
419	0.4572838204
420	0.4570852611
421	0.4568930458
422	0.4567215201
423	0.4564982347
424	0.4562570775
425	0.4560225174
426	0.4557889293
427	0.455532946
428	0.4552756167
429	0.455241653
430	0.455041161
431	0.4547566612
432	0.4545140775
433	0.4542344155
434	0.4540242031
435	0.4538584603
436	0.4536041183
437	0.4534560548
438	0.453243639
439	0.4529925383
440	0.4528876103
441	0.4526813652
442	0.4524346115
443	0.4521923108
444	0.4519425175
445	0.4517585763
446	0.4515418678
447	0.4512695073
448	0.4511384422
449	0.4510332345
450	0.4508186382
451	0.4506018604
452	0.450360192
453	0.4501216191
454	0.4498968394
455	0.4496525834
456	0.4494740922
457	0.4492367452
458	0.449045127
459	0.4488381173
460	0.4486513391
461	0.4484291096
462	0.4482513635
463	0.4480706787
464	0.4478370605
465	0.4475774543
466	0.4473320138
467	0.4470931581
468	0.4468716662
469	0.4466756734
470	0.4464849184
471	0.446420444
472	0.4461986537
473	0.4459794696
474	0.4458185321
475	0.4456772112
476	0.4455074119
477	0.4453038817
478	0.4451601544
479	0.4448999164
480	0.4446995391
481	0.4444689138
482	0.4441849426
483	0.4439264998
484	0.4436588785
485	0.4434817812
486	0.443273088
487	0.4431012526
488	0.4428676791
489	0.4426143523
490	0.4423886699
491	0.4421408942
492	0.4418912644
493	0.441857086
494	0.4416002959
495	0.4414174901
496	0.4412553935
497	0.441039943
498	0.4408341437
499	0.4406890453
