College ID,College Score,College Name
153,43.5484,"University of Amsterdam, Netherlands"
154,43.4783,"University of Ottawa, Canada"
155,43.4211,"Beijing Normal University, China"
156,43.0769,"Durham University, UK"
157,42.8571,"Case Western Reserve University, USA"
158,42.6829,"University of Colorado Boulder, USA"
159,42.2535,"University of Western Australia, Australia"
160,42.1875,"Tel Aviv University, Israel"
161,41.5584,"University of Exeter, UK"
162,41.5385,"Albert-Ludwigs-Universität Freiburg, Germany"
163,41.2698,"Wuhan University, China"
164,41.2698,"Beijing University of Aeronautics and Astronautics, China"
165,41.1765,"Tohoku University, Japan"
166,41.0714,"University of Utah, USA"
167,40.9091,"Beijing Jiaotong University, China"
168,40.3226,"University of Helsinki, Finland"
169,40.2985,"National Tsing Hua University, Taiwan"
170,39.6825,"Monash University, Australia"
171,39.0625,"Georg-August-Universität Göttingen, Germany"
172,38.9831,"Southeast University, China"
173,38.7097,"RWTH Aachen University, Germany"
174,38.5714,"Chongqing University, China"
175,38.1818,"Karlsruhe Institute of Technology, Germany"
176,38.1579,"Shanghai University of Finance and Economics, China"
177,38.0952,"Université Joseph Fourier, Grenoble, France"
178,37.3134,"Uppsala University, Sweden"
179,37.0968,"Johann Wolfgang Goethe-Universität Frankfurt am Main, Germany"
180,37.0968,"Technion Israel Institute of Technology, Israel"
181,36.7647,"National Chiao Tung University, Taiwan"
182,36.7347,"University of Southampton, UK"
183,36.6667,"Osaka University, Japan"
184,36.5079,"Universität Basel, Switzerland"
185,36.2069,"Leiden University, Netherlands"
186,36.1111,"University of Leeds, UK"
187,36.0656,"Xi'an Jiaotong University, China"
188,35.8209,"Beijing University of Posts and Telecommunications, China"
189,35.443,Hong Kong Baptist University
190,35.1852,"University of Queensland Australia, Australia"
191,35.0649,"University of International Business and Economics, China"
192,34.8485,"Hebrew University of Jerusalem, Israel"
193,34.6154,"University of Sussex, UK"
194,34.4828,"National Taiwan Normal University, Taiwan"
195,33.9286,"University of St Andrews, UK"
196,33.9286,"McMaster University, Canada"
197,33.3333,"Northeastern University, China"
198,33.3333,"Jilin University, China"
199,33.3333,"Huazhong University of Science and Technology, China"
200,33.3333,"Colorado School of Mines, USA"
201,33.3333,"University of Adelaide, Australia"
202,33.3333,"Maastricht University, Netherlands"
203,32.7869,"Delft University of Technology, Netherlands"
204,32.3529,"Nanjing University of Science and Technology, China"
205,32.2034,"Wake Forest University, USA"
206,32.0,"University of Sheffield, UK"
207,31.9444,"East China Normal University, China"
208,31.746,"National Sun Yat-Sen University, Taiwan"
209,31.746,"University of Glasgow, UK"
210,31.4815,"Seoul National University, Republic of Korea"
211,31.3433,"University of Auckland, New Zealand"
212,30.9859,"Ocean University of China, China"
213,30.8824,"Shanghai International Studies University, China"
214,30.6452,"Lingnan University, Hong Kong"
215,30.5085,"Southwestern University of Finance and Economics, China"
216,30.5085,"Université Pierre et Marie Curie, France"
217,30.3571,"Freie Universität Berlin, Germany"
218,30.2326,"Beijing Foreign Studies University, China"
219,30.1887,"University of Reading, UK"
220,30.0,"Northwestern Polytechnical University, China"
221,29.8507,"Nanjing University of Aeronautics and Astronautics, China"
222,29.8246,"National Taiwan University of Science and Technology, Taiwan"
223,29.8246,"Lund University, Sweden"
224,29.7872,"National Chengchi University, Taiwan"
225,29.4118,"Université Catholique de Louvain, Belgium"
226,28.9474,"VU University Amsterdam, Netherlands"
227,28.7879,"University of São Paulo, Brazil"
228,28.7671,"China University of Political Science and Law, China"
229,28.5714,"Beijing Language and Culture University, China"
230,28.5714,"East China University Of Science and Technology, China"
231,28.5714,"Hunan University, China"
232,28.5714,"Utrecht University, Netherlands"
233,28.5714,"Karolinska Institute, Sweden"
234,28.125,"Central University of Finance and Economics, China"
235,28.0702,"Eindhoven University of Technology, Netherlands"
236,27.7778,"Central South University, China"
237,27.5862,"KU Leuven, Belgium"
238,27.3973,"Sichuan University, China"
239,27.027,"Wageningen University and Research Center, Netherlands"
240,26.9841,"Trinity College Dublin, Republic of Ireland"
241,26.7857,"Ghent University, Belgium"
242,26.6667,"University College Dublin, Republic of Ireland"
243,26.4706,"Beijing Forestry University, China"
244,26.1538,"Shandong University, China"
245,26.0274,"Medical University of South Carolina, USA"
246,26.0,"Aarhus University, Denmark"
247,25.7143,"Dalian University of Technology, China"
248,25.0,"University of Antwerp, Belgium"
249,25.0,"Radboud University Nijmegen, Netherlands"
250,24.1758,"University of Macau, China"
251,23.2877,"Korea Advanced Institute of Science and Technology, Republic of Korea"
252,23.2143,"University of Aberdeen, UK"
253,23.0769,"Pohang University of Science and Technology, Republic of Korea"
254,22.807,"Yonsei University, Republic of Korea"
255,22.7273,"Yeshiva University, USA"
256,21.5385,"Erasmus University Rotterdam, Netherlands"
257,21.2121,"University of Cape Town, South Africa"
258,19.6721,"National Cheng Kung University, Taiwan"
259,19.403,"China Agricultural University, China"
260,19.2982,"University of Twente, Netherlands"
261,19.2308,"Sun Yat-Sen University, China"
