city,state,censdist,year,sworn,civil,elecyear,governor,murder,rape,robbery,assault,burglary,larceny,auto,rincpc,econgrow,unemp,citypop,term2,term3,term4,a0_5,a5_9,a10_14,a15_19,a20_24,a25_29,citybla,cityfemh,sta_educ,sta_welf,price,termlim,mayor,web,total_crime,murder_level,rape_level,robbery_level,assault_level,burglary_level,larceny_level,auto_level,total_crime_level
33,36.0,73.0,1984,763.0,207.0,0.0,0.0,39711.0,516.0,1603.0,2075.0,12432.0,18868.0,4152.0,11.25312042236328,0.006814002990722656,0.0700799822807312,439249.0,0.0,0.0,1.0,0.07729744911193848,0.0772753357887268,0.07322680950164795,0.08413344621658325,0.09227466583251953,0.0916551947593689,15.15999603271484,11.39999389648438,732.64306640625,204.3170166015625,1.038999557495117,1.0,0,0,39711.0,1,3,1,2,2,1,2,1
33,36.0,73.0,1985,732.0,187.0,0.0,0.0,49633.0,485.0,1585.0,2197.0,14730.0,24312.0,6263.0,11.24075317382812,-0.001099586486816406,0.07166999578475952,443575.0,0.0,0.0,1.0,0.07702410221099854,0.07740730047225952,0.0729183554649353,0.08249849081039429,0.08977937698364258,0.09098368883132935,15.29999542236328,11.59999847412109,739.5693359375,194.2841796875,1.07599925994873,1.0,0,0,49633.0,2,2,1,2,2,2,2,2
33,36.0,73.0,1986,737.0,180.0,1.0,1.0,57394.0,425.0,1484.0,2270.0,17048.0,29404.0,6703.0,11.21663665771484,-0.002147912979125977,0.0820799469947815,444119.0,0.0,0.0,1.0,0.0767562985420227,0.07753664255142212,0.0726161003112793,0.08089649677276611,0.08733445405960083,0.09032577276229858,15.43999481201172,11.79999542236328,797.80517578125,217.0560302734375,1.095999717712402,1.0,1,0,57394.0,2,2,1,2,3,2,2,2
33,36.0,73.0,1987,767.0,218.0,0.0,0.0,56057.0,381.0,1322.0,2047.0,17345.0,28159.0,6755.0,11.00215911865234,-0.01930642127990723,0.07357996702194214,441408.0,0.0,0.0,1.0,0.07649385929107666,0.07766342163085938,0.07231992483139038,0.0793265700340271,0.08493834733963013,0.08968096971511841,15.57999420166016,12.0,740.2548828125,228.08154296875,1.13599967956543,0.0,0,0,56057.0,2,2,1,1,3,2,2,2
33,36.0,73.0,1988,796.0,187.0,0.0,0.0,50317.0,377.0,1365.0,2184.0,14693.0,25931.0,5707.0,11.24851989746094,0.02214479446411133,0.06707996129989624,440136.0,0.0,0.0,1.0,0.07623660564422607,0.07778763771057129,0.07202953100204468,0.07778763771057129,0.08258962631225586,0.08904892206192017,15.71999359130859,12.19999694824219,736.57373046875,246.48291015625,1.182999610900879,0.0,0,0,50317.0,2,2,1,2,2,2,2,2
33,36.0,73.0,1989,810.0,219.0,0.0,0.0,48320.0,352.0,1617.0,2277.0,13675.0,23736.0,6602.0,11.40886688232422,0.01415443420410156,0.0559999942779541,431982.0,0.0,0.0,1.0,0.07598435878753662,0.07790946960449219,0.07174485921859741,0.0762789249420166,0.08028697967529297,0.0884292721748352,15.85999298095703,12.39999389648438,762.90283203125,262.903076171875,1.239999771118164,0.0,0,0,48320.0,2,2,1,2,2,2,2,2
33,36.0,73.0,1990,882.0,300.0,1.0,1.0,47190.0,422.0,1398.0,2925.0,11440.0,25657.0,5280.0,11.81495666503906,0.03497505187988281,0.0559999942779541,444719.0,0.0,0.0,1.0,0.07573699951171875,0.07802891731262207,0.07146573066711426,0.07479941844940186,0.07802891731262207,0.0878216028213501,16.0,12.59999847412109,776.58740234375,267.788818359375,1.306999206542969,0.0,1,0,47190.0,2,2,1,2,2,2,2,2
34,27.0,46.0,1970,525.0,91.0,0.0,1.0,18339.0,71.0,753.0,1137.0,3739.0,9266.0,3340.0,9.688140869140625,0.003535747528076172,0.02020999789237976,347000.0,0.0,0.0,1.0,0.09149503707885742,0.1110116243362427,0.0936436653137207,0.08325868844985962,0.06911367177963257,0.05998209118843079,9.599998474121094,11.69999694824219,664.9482421875,97.9381103515625,0.3879997730255127,0.0,0,0,18339.0,0,0,0,0,0,0,1,0
34,27.0,46.0,1971,558.0,119.0,0.0,0.0,17328.0,122.0,482.0,1085.0,3706.0,9017.0,2892.0,10.05678558349609,0.03734517097473145,0.02177999913692474,357000.0,0.0,0.0,1.0,0.09036970138549805,0.1076703667640686,0.0926324725151062,0.08464139699935913,0.0719643235206604,0.063510000705719,9.839996337890625,11.70999908447266,683.95068359375,120.9876098632812,0.4049999713897705,0.0,0,0,17328.0,0,0,0,0,0,0,1,0
34,27.0,46.0,1972,560.0,113.0,0.0,0.0,19323.0,125.0,692.0,1092.0,4064.0,10326.0,3000.0,10.68659973144531,0.06074285507202148,0.02134999632835388,365067.0,0.0,0.0,1.0,0.08925527334213257,0.1043616533279419,0.09163117408752441,0.0860106348991394,0.0747871994972229,0.06700354814529419,10.07999420166016,11.71999359130859,696.171875,143.5406494140625,0.4179999828338623,0.0,1,0,19323.0,0,0,0,0,0,0,1,0
