186 1379 7662 5647  24270 34517  17938
332	1566	10985	13732	27950	67334	9929
128	1203	2647	1835	25244	59803	5196
276	768	10078	8977	17990	39855	7806
152	928	10874	8787	20013	47001	31019
91	856	4090	4999	19492	33605	7641
167	673	3339	9449	25509	54952	4474
222	598	8967	9702	17559	40437	14970
240	1364	6407	4038	21279	24311	21228
127	718	3790	3129	19624	44348	4939
302	1152	6066	6880	31540	73587	10297
140	815	3736	3596	32081	53562	9829
582	1444	15376	6350	37031	42192	34524
46	381	2091	5193	16859	40451	5938
302	1138	6173	7353	37397	72746	13561
167	647	4482	3104	28714	61227	6415
44	304	1181	676	11001	35293	2963
262	980	5491	2694	23023	38649	18178
125	734	3806	5135	17405	29528	6134
150	1173	4481	6344	22734	42938	3584
205	953	5947	10903	25091	49193	12478
244	727	8768	6841	20073	39532	16206
186	1379	7662	5647	24270	34517	17938
339	736	14947	12965	30550	72800	18884
109	627	3354	2431	12513	43656	7966
80	1161	6443	6540	30422	51100	9448
168	723	3299	2824	17842	36909	4438
271	803	7378	6194	18496	41743	11925
193	540	11071	7009	17377	36477	11056
262	1466	9158	7625	32715	57626	9412
138	1093	3573	4953	33207	54809	14119
66	590	1629	4599	13092	39349	3285
166	623	5720	3374	11589	21837	7704
100	713	2722	4908	26209	52476	5516
85	469	7522	2781	18064	26359	16874
117	1276	9544	12553	46652	90013	9215
125	668	6656	4314	31875	55390	9324
392	891	7274	11489	31310	49616	12950
209	955	3109	1977	28429	53499	8696
97	342	3098	2787	16557	35638	10179
116	698	6968	5173	16030	42807	8090
78	588	1752	2497	13255	34460	4340
123	891	5741	6418	32840	75797	5620
79	687	2822	2694	17054	43768	5447
84	779	2755	6116	25989	59207	5337
88	715	2123	4815	24216	41427	13717
235	538	8355	7120	15982	39735	8027
344	1004	5089	5444	25439	49799	12452
40	346	771	4381	14774	46441	3181
67	445	2501	1823	21475	39716	7100
100	816	4446	7452	23031	46318	2397
245	1010	9314	13460	42474	72105	7810
103	410	4364	1827	17303	29900	4058
63	870	2408	4479	25118	40691	4214
143	437	9095	5361	18627	29634	14572
370	1878	16816	11711	19162	38596	34107
75	697	2254	5236	14102	40255	4138
82	480	1366	3143	15996	60658	7957
110	677	1404	1336	20260	52195	4674
