,BTCUSDT.csv,ETHUSDT.csv,LTCUSDT.csv,XRPUSDT.csv,cash_balance,crypto_balance,revenue,total_balance,transaction_cost
2019-01-01 00:00:00,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2019-01-01 00:01:00,0.0,10.0,0.0,0.0,98657.67917500001,1341.6499999999999,-0.6708249999999999,99999.329175,0.6708249999999999
2019-01-01 00:02:00,0.0,10.0,0.0,0.0,98657.679175,1341.8000000000002,0.1500000000001478,99999.479175,0.0
2019-01-01 00:03:00,0.0,10.0,0.0,0.0,98657.679175,1342.1000000000001,0.30000000000001137,99999.779175,0.0
2019-01-01 00:04:00,0.0,10.0,0.0,0.0,98657.679175,1341.75,-0.3499999999999659,99999.429175,0.0
2019-01-01 00:05:00,0.0,10.0,0.0,0.0,98657.679175,1341.375,-0.3750000000002274,99999.054175,0.0
2019-01-01 00:06:00,0.0,10.0,0.0,0.0,98657.679175,1340.1999999999998,-1.1750000000000682,99997.879175,0.0
2019-01-01 00:07:00,0.0,10.0,0.0,0.0,98657.679175,1339.8249999999998,-0.37499999999994316,99997.504175,0.0
2019-01-01 00:08:00,0.0,10.0,0.0,0.0,98657.679175,1339.9250000000002,0.10000000000019327,99997.604175,0.0
2019-01-01 00:09:00,0.0,10.0,0.0,0.0,98657.679175,1339.125,-0.8000000000001251,99996.804175,0.0
2019-01-01 00:10:00,0.0,10.0,0.0,0.0,98657.679175,1339.425,0.30000000000001137,99997.104175,0.0
2019-01-01 00:11:00,0.0,10.0,0.0,0.0,98657.679175,1339.475,0.049999999999954525,99997.154175,0.0
2019-01-01 00:12:00,0.0,10.0,0.0,0.0,98657.67917500001,1339.575,0.10000000000019327,99997.25417500001,0.0
2019-01-01 00:13:00,0.0,10.0,0.0,0.0,98657.67917500001,1340.3000000000002,0.7250000000001933,99997.97917500001,0.0
2019-01-01 00:14:00,0.0,10.0,0.0,0.0,98657.67917500001,1339.8000000000002,-0.5000000000001137,99997.47917500001,0.0
2019-01-01 00:15:00,0.0,10.0,0.0,0.0,98657.67917500001,1340.25,0.44999999999987494,99997.92917500001,0.0
2019-01-01 00:16:00,0.0,10.0,0.0,0.0,98657.67917500001,1340.475,0.22499999999979536,99998.15417500002,0.0
2019-01-01 00:17:00,0.0,10.0,0.0,0.0,98657.67917500003,1340.4500000000003,-0.024999999999693046,99998.12917500002,0.0
2019-01-01 00:18:00,0.0,10.0,0.0,0.0,98657.67917500003,1340.4499999999998,-2.8421709430404007e-13,99998.12917500002,0.0
2019-01-01 00:19:00,0.0,10.0,0.0,0.0,98657.67917500003,1340.8000000000002,0.3500000000002501,99998.47917500003,0.0
2019-01-01 00:20:00,0.0,10.0,0.0,0.0,98657.67917500004,1341.3999999999999,0.5999999999997385,99999.07917500004,0.0
2019-01-01 00:21:00,0.0,10.0,0.0,0.0,98657.67917500003,1341.6000000000004,0.20000000000038654,99999.27917500003,0.0
2019-01-01 00:22:00,0.0,10.0,0.0,0.0,98657.67917500003,1342.1750000000002,0.5750000000000455,99999.85417500003,0.0
2019-01-01 00:23:00,0.0,10.0,0.0,0.0,98657.67917500004,1342.2749999999999,0.09999999999962483,99999.95417500004,0.0
2019-01-01 00:24:00,0.0,10.0,0.0,0.0,98657.67917500004,1342.5749999999998,0.30000000000001137,100000.25417500004,0.0
2019-01-01 00:25:00,0.0,10.0,0.0,0.0,98657.67917500004,1342.625,0.049999999999954525,100000.30417500004,0.0
2019-01-01 00:26:00,0.0,10.0,0.0,0.0,98657.67917500004,1342.75,0.12500000000017053,100000.42917500004,0.0
2019-01-01 00:27:00,0.0,10.0,0.0,0.0,98657.67917500004,1342.825,0.07499999999993179,100000.50417500004,0.0
2019-01-01 00:28:00,0.0,10.0,0.0,0.0,98657.67917500004,1343.025,0.20000000000010232,100000.70417500004,0.0
2019-01-01 00:29:00,0.0,10.0,0.0,0.0,98657.67917500004,1342.825,-0.20000000000010232,100000.50417500004,0.0
2019-01-01 00:30:00,0.0,10.0,0.0,0.0,98657.67917500003,1342.225,-0.6000000000000227,99999.90417500003,0.0
2019-01-01 00:31:00,0.0,10.0,0.0,0.0,98657.67917500003,1342.125,-0.09999999999990905,99999.80417500003,0.0
2019-01-01 00:32:00,0.0,10.0,0.0,0.0,98657.67917500003,1342.4,0.2750000000000341,100000.07917500002,0.0
2019-01-01 00:33:00,0.0,10.0,0.0,0.0,98657.67917500001,1342.35,-0.05000000000023874,100000.02917500002,0.0
2019-01-01 00:34:00,0.0,10.0,0.0,0.0,98657.67917500003,1342.15,-0.1999999999998181,99999.82917500002,0.0
2019-01-01 00:35:00,0.0,10.0,0.0,0.0,98657.67917500001,1341.675,-0.4750000000001364,99999.35417500001,0.0
2019-01-01 00:36:00,0.0,10.0,0.0,0.0,98657.67917500003,1341.3999999999999,-0.2750000000000341,99999.07917500002,0.0
2019-01-01 00:37:00,0.0,10.0,0.0,0.0,98657.67917500003,1341.7000000000003,0.3000000000002956,99999.37917500002,0.0
2019-01-01 00:38:00,0.0,10.0,0.0,0.0,98657.67917500001,1341.85,0.14999999999986358,99999.52917500002,0.0
2019-01-01 00:39:00,0.0,10.0,0.0,0.0,98657.67917500003,1341.775,-0.07499999999993179,99999.45417500002,0.0
2019-01-01 00:40:00,0.0,10.0,0.0,0.0,98657.67917500001,1341.975,0.1999999999998181,99999.65417500002,0.0
2019-01-01 00:41:00,0.0,10.0,0.0,0.0,98657.67917500001,1342.3500000000001,0.3750000000002274,100000.02917500002,0.0
2019-01-01 00:42:00,0.0,10.0,0.0,0.0,98657.67917500001,1342.3500000000001,0.0,100000.02917500002,0.0
2019-01-01 00:43:00,0.0,10.0,0.0,0.0,98657.67917500003,1342.6499999999999,0.29999999999972715,100000.32917500002,0.0
2019-01-01 00:44:00,0.0,10.0,0.0,0.0,98657.67917500001,1342.475,-0.17499999999984084,100000.15417500002,0.0
2019-01-01 00:45:00,0.0,10.0,0.0,0.0,98657.67917500001,1342.3500000000001,-0.12499999999988631,100000.02917500002,0.0
2019-01-01 00:46:00,0.0,10.0,0.0,0.0,98657.67917500001,1341.975,-0.3750000000002274,99999.65417500002,0.0
2019-01-01 00:47:00,0.0,10.0,0.0,0.0,98657.67917500001,1341.975,0.0,99999.65417500002,0.0
2019-01-01 00:48:00,0.0,10.0,0.0,0.0,98657.67917500001,1342.175,0.20000000000010232,99999.85417500001,0.0
2019-01-01 00:49:00,0.0,10.0,0.0,0.0,98657.67917500003,1342.15,-0.024999999999977263,99999.82917500002,0.0
2019-01-01 00:50:00,0.0,10.0,0.0,0.0,98657.67917500001,1341.975,-0.17500000000012506,99999.65417500002,0.0
2019-01-01 00:51:00,0.0,10.0,0.0,0.0,98657.67917500003,1341.825,-0.14999999999986358,99999.50417500002,0.0
2019-01-01 00:52:00,0.0,10.0,0.0,0.0,98657.67917500001,1341.725,-0.10000000000019327,99999.40417500002,0.0
2019-01-01 00:53:00,0.0,10.0,0.0,0.0,98657.67917500003,1341.9,0.17500000000012506,99999.57917500002,0.0
2019-01-01 00:54:00,0.0,10.0,0.0,0.0,98657.67917500001,1341.925,0.024999999999977263,99999.60417500001,0.0
2019-01-01 00:55:00,0.0,10.0,0.0,0.0,98657.67917500001,1341.7999999999997,-0.12500000000017053,99999.47917500001,0.0
2019-01-01 00:56:00,0.0,10.0,0.0,0.0,98657.67917500003,1341.275,-0.5249999999998067,99998.95417500002,0.0
