ID,Gender,Population,Geographic.origin,Geographic.area,region,distance,latitude,longtitude
HGDP00450,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP00984,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP00913,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP01284,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP00929,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP00939,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP01412,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
HGDP01029,M,San ,Namidia,Central Africa,Africa,3872.417228,-21,20
HGDP01253,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01265,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01277,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP00613,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00636,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00647,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00559,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00571,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00583,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00597,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00677,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00689,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00465,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP01085,F,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00456,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP01081,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP00914,F,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP01285,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP00930,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP00940,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP01413,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
HGDP01032,M,San ,Namidia,Central Africa,Africa,3872.417228,-21,20
HGDP01254,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01266,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01278,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP00614,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00626,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00637,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00648,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00572,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
