ID,Gender,Population,Geographic.origin,Geographic.area,region,distance,latitude,longtitude
HGDP00879,M,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP00891,M,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP00903,F,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP01047,M,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP01059,M,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP00863,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00875,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00792,M,Colombian,Colombia,South America,America,22857.10218,3,-68
HGDP01001,F,Karitiana,Brazil,South America,America,24212.17729,-10,-63
HGDP01014,F,Karitiana,Brazil,South America,America,24212.17729,-10,-63
HGDP00837,M,Surui,Brazil,South America,America,24367.92263,-11,-62
HGDP00849,M,Surui,Brazil,South America,America,24367.92263,-11,-62
HGDP01232,F,Mongola,China,China,East Asia,9408.954066,45,111
HGDP01244,M,Xibo,China,China,East Asia,7110.284347,43.5,81.5
HGDP01300,M,Uygur,China,China,Central/South Asia,7071.966822,44,81
HGDP01405,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
HGDP01419,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
HGDP01033,M,Bantu,South Africa,South Africa,Africa,2730.422,-3,37
HGDP01260,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01272,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP00608,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00620,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00632,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP01369,F,French Basque,France,Southern Europe,Europe,6012.260603,43,0
HGDP01380,F,French Basque,France,Southern Europe,Europe,6012.260603,43,0
HGDP01062,F,Sardinian,Italy,Southern Europe,Europe,5305.809561,40,9
HGDP01074,F,Sardinian,Italy,Southern Europe,Europe,5305.809561,40,9
HGDP01155,M,North Italian,Italy (Bergamo),Southern Europe,Europe,5249.040337,46,10
HGDP01166,M,Tuscan,Italy,Southern Europe,Europe,5118.374166,43,11
HGDP00802,F,Orcadian,Orkney Islands,Northern Europe,Europe,6636.685091,59,-3
HGDP01384,F,Adygei,Russia Caucasus,Russia,Europe,4155.030463,44,39
HGDP00793,F,Colombian,Colombia,South America,America,22857.10218,3,-68
HGDP01003,F,Karitiana,Brazil,South America,America,24212.17729,-10,-63
HGDP01015,M,Karitiana,Brazil,South America,America,24212.17729,-10,-63
HGDP00838,F,Surui,Brazil,South America,America,24367.92263,-11,-62
HGDP00850,F,Surui,Brazil,South America,America,24367.92263,-11,-62
HGDP00890,M,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP00902,F,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP01046,F,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP01371,M,French Basque,France,Southern Europe,Europe,6012.260603,43,0
HGDP00665,M,Sardinian,Italy,Southern Europe,Europe,5305.809561,40,9
HGDP01064,F,Sardinian,Italy,Southern Europe,Europe,5305.809561,40,9
HGDP01076,M,Sardinian,Italy,Southern Europe,Europe,5305.809561,40,9
HGDP01157,F,North Italian,Italy (Bergamo),Southern Europe,Europe,5249.040337,46,10
HGDP01168,F,Tuscan,Italy,Southern Europe,Europe,5118.374166,43,11
HGDP00804,M,Orcadian,Orkney Islands,Northern Europe,Europe,6636.685091,59,-3
HGDP01386,F,Adygei,Russia Caucasus,Russia,Europe,4155.030463,44,39
HGDP01396,M,Adygei,Russia Caucasus,Russia,Europe,4155.030463,44,39
HGDP00881,F,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP00893,M,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP01037,M,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP01049,F,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP01061,M,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP00865,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00877,M,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00827,F,Colombian,Colombia,South America,America,22857.10218,3,-68
HGDP01004,M,Karitiana,Brazil,South America,America,24212.17729,-10,-63
HGDP01016,F,Karitiana,Brazil,South America,America,24212.17729,-10,-63
HGDP00839,M,Surui,Brazil,South America,America,24367.92263,-11,-62
HGDP00851,M,Surui,Brazil,South America,America,24367.92263,-11,-62
HGDP01058,F,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP00862,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00874,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP01417,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
HGDP01030,M,Bantu,South Africa,South Africa,Africa,2730.422,-3,37
HGDP01258,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01270,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
