,V1,V2,ID,Gender,Population,Geographic.origin,Geographic.area,region,distance,latitude,longtitude
HGDP00984,-117371.404667034,-99593.4589189385,HGDP00984,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP00913,-110966.138781288,-85162.2161494794,HGDP00913,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP01284,-111056.909819024,-85608.368802883,HGDP01284,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP00929,-111226.322594791,-87132.0221289761,HGDP00929,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP00939,-112376.154079022,-86152.0113959443,HGDP00939,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP01412,-107636.669996451,-83088.6187320173,HGDP01412,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
HGDP01029,-113210.018821245,-94399.3114662031,HGDP01029,M,San ,Namidia,Central Africa,Africa,3872.417228,-21,20
HGDP01253,-48760.3074849047,27921.631179627,HGDP01253,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01265,-48126.0555932064,27914.2830224258,HGDP01265,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01277,-48192.9507287374,25632.6282305468,HGDP01277,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP00613,-31384.545832477,43706.980647194,HGDP00613,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00636,-33574.4553011357,48163.9031428848,HGDP00636,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00647,-30418.8991416986,42929.7047881691,HGDP00647,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00559,-25188.0684355642,55335.5499878155,HGDP00559,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00571,-24825.9844826298,55808.2064603886,HGDP00571,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00583,-25619.7205254728,56246.8373336397,HGDP00583,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00597,-25249.5776095013,54508.7165502724,HGDP00597,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00677,-32022.6730752601,47705.0361383917,HGDP00677,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00689,-32967.4183849736,48630.6467585091,HGDP00689,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00465,-120342.98140233,-98849.1483408114,HGDP00465,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP01085,-120216.594206758,-98521.8437962737,HGDP01085,F,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00456,-117714.866661652,-100131.840819517,HGDP00456,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP01081,-117567.99915269,-99068.3454281338,HGDP01081,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP00914,-110134.1413177,-84258.6368436326,HGDP00914,F,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP01285,-111573.985872292,-82792.5359887451,HGDP01285,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
HGDP00930,-111720.829172877,-86522.8662111683,HGDP00930,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP00940,-113548.392763592,-88175.3339149014,HGDP00940,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
HGDP01413,-104271.255920421,-76148.5187035908,HGDP01413,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
HGDP01032,-113090.483864412,-93645.4901884112,HGDP01032,M,San ,Namidia,Central Africa,Africa,3872.417228,-21,20
HGDP01254,-46755.6306035941,28303.725885369,HGDP01254,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01266,-47176.1154849311,27201.192579503,HGDP01266,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP01278,-47159.839070898,28247.0827699441,HGDP01278,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
HGDP00614,-33200.9615514367,44304.4561435313,HGDP00614,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00626,-31272.7280650149,44971.3107615588,HGDP00626,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00637,-33481.9617943222,41471.8934915915,HGDP00637,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00648,-32508.8053565125,48269.8234976267,HGDP00648,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00572,-28069.2594883585,53745.730675477,HGDP00572,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00584,-26721.7432452561,53755.423728956,HGDP00584,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00598,-27655.543700531,54113.5058874616,HGDP00598,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00678,-30351.1082687786,46029.6443513213,HGDP00678,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
