"","V1","V2","ID","Gender","Population","Geographic.origin","Geographic.area","region","distance","latitude","longtitude"
"HGDP01228",109.239936958021,-36.9309811918638,"HGDP01228","M","Mongola","China","China","East Asia",9408.954066,45,111
"HGDP01240",246.696292307422,-45.1663333857824,"HGDP01240","M","Hezhen","China","China","East Asia",10896.33577,47.5,133.5
"HGDP01308",106.428384606427,-45.9210341723643,"HGDP01308","M","Dai","China","China","East Asia",9343.955377,21,100
"HGDP00057",-129.854370098439,-354.978068644708,"HGDP00057","M","Balochi","Pakistan","Pakistan","Central/South Asia",5842.077841,30.5,66.5
"HGDP00127",81.7147626619785,41.3604488917001,"HGDP00127","M","Hazara","Pakistan","Pakistan","Central/South Asia",6132.580278,33.5,70
"HGDP00139",-354.134273626159,-300.610342398544,"HGDP00139","M","Makrani","Pakistan","Pakistan","Central/South Asia",5704.994418,26,64
"HGDP00154",-99.2318186031949,92.0850974926841,"HGDP00154","F","Makrani","Pakistan","Pakistan","Central/South Asia",5704.994418,26,64
"HGDP00175",-204.92350076751,-380.719785951804,"HGDP00175","M","Sindhi","Pakistan","Pakistan","Central/South Asia",6201.994706,25.5,69
"HGDP00199",-57.4948879489613,93.7841381864251,"HGDP00199","M","Sindhi","Pakistan","Pakistan","Central/South Asia",6201.994706,25.5,69
"HGDP00222",-26.7732616832853,92.2168821863023,"HGDP00222","M","Pathan","Pakistan","Pakistan","Central/South Asia",6178.886689,33.5,70.5
"HGDP00279",-13.2091504544112,102.552588877815,"HGDP00279","M","Kalash","Pakistan","Pakistan","Central/South Asia",6253.640204,36,71.5
"HGDP00309",-26.6462733855979,104.853863462145,"HGDP00309","M","Kalash","Pakistan","Pakistan","Central/South Asia",6253.640204,36,71.5
"HGDP00382",98.5543047409189,92.3033697443544,"HGDP00382","M","Burusho","Pakistan","Pakistan","Central/South Asia",6475.612264,36.5,74
"HGDP00444",-2.25052148386341,74.0052450742873,"HGDP00444","F","Burusho","Pakistan","Pakistan","Central/South Asia",6475.612264,36.5,74
"HGDP00818",248.703842567641,-280.792995676297,"HGDP00818","F","Han","China","China","East Asia",10133.39558,32.3,114
"HGDP00786",318.601826813175,-131.442759135249,"HGDP00786","M","Han","China","China","East Asia",10133.39558,32.3,114
"HGDP00977",243.833680687025,-82.3119479136629,"HGDP00977","M","Han","China","China","East Asia",10133.39558,32.3,114
"HGDP01095",124.941886375718,-66.4956734021305,"HGDP01095","M","Tujia","China","China","East Asia",9832.495914,29,109
"HGDP00080",-74.8862363891234,99.032228191028,"HGDP00080","M","Balochi","Pakistan","Pakistan","Central/South Asia",5842.077841,30.5,66.5
"HGDP01180",119.384139799914,-48.7536944638062,"HGDP01180","M","Yizu","China","China","East Asia",9328.789625,28,103
"HGDP01191",127.236443693539,-57.2613721893291,"HGDP01191","M","Miaozu","China","China","East Asia",9875.317612,28,109
"HGDP01206",134.51472122685,-37.1595157845885,"HGDP01206","M","Oroqen","China","China","East Asia",10293.50952,50.4,126.5
"HGDP01218",106.340994307786,-41.3078269040575,"HGDP01218","M","Daur","China","China","East Asia",10213.23714,48.5,124
"HGDP01230",115.844841586955,-18.9516056194319,"HGDP01230","M","Mongola","China","China","East Asia",9408.954066,45,111
"HGDP01242",212.683002751869,-44.5839585191707,"HGDP01242","F","Hezhen","China","China","East Asia",10896.33577,47.5,133.5
"HGDP01298",100.476508353263,76.0141443532489,"HGDP01298","M","Uygur","China","China","Central/South Asia",7071.966822,44,81
"HGDP01310",108.561592725133,-73.2772930873767,"HGDP01310","M","Dai","China","China","East Asia",9343.955377,21,100
"HGDP00128",90.7605470263952,38.7048933204737,"HGDP00128","M","Hazara","Pakistan","Pakistan","Central/South Asia",6132.580278,33.5,70
"HGDP00140",-94.940488705077,40.1240903263688,"HGDP00140","M","Makrani","Pakistan","Pakistan","Central/South Asia",5704.994418,26,64
"HGDP00155",-78.8332945916027,106.682177316452,"HGDP00155","F","Makrani","Pakistan","Pakistan","Central/South Asia",5704.994418,26,64
"HGDP00177",-202.990151858229,-270.679083979365,"HGDP00177","M","Sindhi","Pakistan","Pakistan","Central/South Asia",6201.994706,25.5,69
"HGDP00201",-34.979490595841,75.7042022859802,"HGDP00201","M","Sindhi","Pakistan","Pakistan","Central/South Asia",6201.994706,25.5,69
"HGDP00224",-27.9437546919048,94.6678741718633,"HGDP00224","M","Pathan","Pakistan","Pakistan","Central/South Asia",6178.886689,33.5,70.5
"HGDP00281",-31.7637808972342,100.504083385846,"HGDP00281","M","Kalash","Pakistan","Pakistan","Central/South Asia",6253.640204,36,71.5
"HGDP00141",-97.6803378078005,65.3903443149079,"HGDP00141","M","Makrani","Pakistan","Pakistan","Central/South Asia",5704.994418,26,64
"HGDP00157",-115.160808725438,85.3125769938364,"HGDP00157","F","Makrani","Pakistan","Pakistan","Central/South Asia",5704.994418,26,64
"HGDP00179",-43.7049731684021,69.2950424087462,"HGDP00179","M","Sindhi","Pakistan","Pakistan","Central/South Asia",6201.994706,25.5,69
"HGDP00226",-34.4951481192713,92.6365491647129,"HGDP00226","M","Pathan","Pakistan","Pakistan","Central/South Asia",6178.886689,33.5,70.5
"HGDP00251",-41.6938288690011,83.5872659577632,"HGDP00251","M","Pathan","Pakistan","Pakistan","Central/South Asia",6178.886689,33.5,70.5
"HGDP01193",133.667092669689,-255.089797940795,"HGDP01193","M","Miaozu","China","China","East Asia",9875.317612,28,109
"HGDP01208",237.998407959448,-45.5101753837273,"HGDP01208","M","Oroqen","China","China","East Asia",10293.50952,50.4,126.5
"HGDP01181",112.610474495851,-45.1895445924344,"HGDP01181","M","Yizu","China","China","East Asia",9328.789625,28,103
"HGDP01192",235.8237006859,-347.50244347878,"HGDP01192","M","Miaozu","China","China","East Asia",9875.317612,28,109
"HGDP01207",114.341146569537,-35.4409166317682,"HGDP01207","M","Oroqen","China","China","East Asia",10293.50952,50.4,126.5
"HGDP01231",106.258020588723,-40.8552239745564,"HGDP01231","F","Mongola","China","China","East Asia",9408.954066,45,111
"HGDP01243",117.07147990201,11.0184069398779,"HGDP01243","M","Xibo","China","China","East Asia",7110.284347,43.5,81.5
"HGDP01299",346.529881909421,78.2123154117092,"HGDP01299","M","Uygur","China","China","Central/South Asia",7071.966822,44,81
"HGDP01311",110.644760541277,-81.2991205857611,"HGDP01311","M","Dai","China","China","East Asia",9343.955377,21,100
"HGDP00311",-24.4131716577942,102.855919218052,"HGDP00311","M","Kalash","Pakistan","Pakistan","Central/South Asia",6253.640204,36,71.5
"HGDP00336",27.9902570956807,68.2861503543172,"HGDP00336","F","Burusho","Pakistan","Pakistan","Central/South Asia",6475.612264,36.5,74
"HGDP00388",-2.23106806286603,69.8920243469434,"HGDP00388","M","Burusho","Pakistan","Pakistan","Central/South Asia",6475.612264,36.5,74
"HGDP00445",91.6446507921538,88.90589902207,"HGDP00445","M","Burusho","Pakistan","Pakistan","Central/South Asia",6475.612264,36.5,74
"HGDP00974",114.208857363412,-48.400600130093,"HGDP00974","F","Han","China","China","East Asia",10133.39558,32.3,114
"HGDP00811",335.613200213473,-77.4062989852864,"HGDP00811","F","Han","China","China","East Asia",10133.39558,32.3,114
"HGDP01096",129.216416268725,-45.0780355104209,"HGDP01096","M","Tujia","China","China","East Asia",9832.495914,29,109
"HGDP01103",132.64240945541,-114.933798828991,"HGDP01103","M","Tujia","China","China","East Asia",9832.495914,29,109
"HGDP01188",114.910061851225,-45.8132102230008,"HGDP01188","F","Yizu","China","China","East Asia",9328.789625,28,103
"HGDP01203",209.749302875536,-45.9660574049994,"HGDP01203","M","Oroqen","China","China","East Asia",10293.50952,50.4,126.5
"HGDP01215",109.315084023773,-33.7815619360262,"HGDP01215","F","Daur","China","China","East Asia",10213.23714,48.5,124
"HGDP01227",110.969817551158,-33.331889150788,"HGDP01227","M","Mongola","China","China","East Asia",9408.954066,45,111
"HGDP01239",313.915265536696,-40.9107835037665,"HGDP01239","F","Hezhen","China","China","East Asia",10896.33577,47.5,133.5
"HGDP01251",113.632441279926,-42.342108121742,"HGDP01251","F","Xibo","China","China","East Asia",7110.284347,43.5,81.5
"HGDP01307",206.622321609703,-365.429249892525,"HGDP01307","M","Dai","China","China","East Asia",9343.955377,21,100
"HGDP01179",113.318208301946,-46.7518581327981,"HGDP01179","M","Yizu","China","China","East Asia",9328.789625,28,103
"HGDP01190",118.931231089418,-56.8291677996764,"HGDP01190","M","Miaozu","China","China","East Asia",9875.317612,28,109
"HGDP01205",113.950255549515,-37.9275182133972,"HGDP01205","M","Oroqen","China","China","East Asia",10293.50952,50.4,126.5
"HGDP01217",119.88940327133,-34.3291722772855,"HGDP01217","M","Daur","China","China","East Asia",10213.23714,48.5,124
"HGDP01229",104.272377784418,-18.4527910968459,"HGDP01229","M","Mongola","China","China","East Asia",9408.954066,45,111
"HGDP01241",112.972935618751,-40.2510889221235,"HGDP01241","M","Hezhen","China","China","East Asia",10896.33577,47.5,133.5
"HGDP01297",64.8765709682915,52.8640922809436,"HGDP01297","M","Uygur","China","China","Central/South Asia",7071.966822,44,81
"HGDP01309",112.116233995851,-62.3426268823501,"HGDP01309","M","Dai","China","China","East Asia",9343.955377,21,100
"HGDP01312",162.704643918037,-303.595781505382,"HGDP01312","M","Dai","China","China","East Asia",9343.955377,21,100
"HGDP01323",111.816807994313,-161.660609802016,"HGDP01323","F","Lahu","China","China","East Asia",9299.626366,22,100
"HGDP01335",149.850954464339,-274.710649108536,"HGDP01335","F","She","China","China","East Asia",10817.81249,27,119
"HGDP01347",105.857255909713,-39.7182616971131,"HGDP01347","M","Tu","China","China","East Asia",8868.138507,36,101
"HGDP00946",103.82718564785,-21.6107888124459,"HGDP00946","M","Yakut","Siberia","Russia","East Asia",9919.809481,63,129.5
"HGDP00958",108.599972847216,-5.56356476101312,"HGDP00958","M","Yakut","Siberia","Russia","East Asia",9919.809481,63,129.5
"HGDP00747",490.953135698233,-53.1580855616781,"HGDP00747","M","Japanese","Japan","Japan","East Asia",11762.10792,38,138
"HGDP00759",286.74822269603,-124.351668671467,"HGDP00759","M","Japanese","Japan","Japan","East Asia",11762.10792,38,138
"HGDP00769",466.095326140345,-61.3586261014557,"HGDP00769","M","Japanese","Japan","Japan","East Asia",11762.10792,38,138
"HGDP00712",107.968426444076,-49.1438024725815,"HGDP00712","F","Cambodian","Cambodia","Southeast Asia","East Asia",10260.54741,12,105
"HGDP00542",-6.6160275612887,-91.800827716661,"HGDP00542","M","Papuan","New Guinea","New Guinea","Oceania",14843.12266,-4,143
"HGDP00554",5.26589595121767,-70.9194371546232,"HGDP00554","F","Papuan","New Guinea","New Guinea","Oceania",14843.12266,-4,143
"HGDP00662",35.8995283123819,-213.605080608722,"HGDP00662","M","NAN Melanesian","Bougainville","Southern Europe","Oceania",16168.51405,-6,155
"HGDP01027",24.876185567237,-75.2360261707418,"HGDP01027","F","NAN Melanesian","Bougainville","Southern Europe","Oceania",16168.51405,-6,155
"HGDP00521",-83.7618820311301,152.843251879981,"HGDP00521","M","French","France","Southern Europe","Europe",5857.478333,46,2
"HGDP00533",-65.2351826921729,171.135603870625,"HGDP00533","M","French","France","Southern Europe","Europe",5857.478333,46,2
"HGDP01361",-80.8142940199922,157.864669628134,"HGDP01361","M","French Basque","France","Southern Europe","Europe",6012.260603,43,0
"HGDP01372",14.662055386128,561.543866674982,"HGDP01372","M","French Basque","France","Southern Europe","Europe",6012.260603,43,0
"HGDP00667",-102.573635296849,368.466408250279,"HGDP00667","F","Sardinian","Italy","Southern Europe","Europe",5305.809561,40,9
"HGDP01066",-203.489239318311,384.39476156761,"HGDP01066","M","Sardinian","Italy","Southern Europe","Europe",5305.809561,40,9
"HGDP01078",92.3782175100374,539.726263545791,"HGDP01078","F","Sardinian","Italy","Southern Europe","Europe",5305.809561,40,9
"HGDP01172",-84.602149876745,164.923788927084,"HGDP01172","F","North Italian","Italy (Bergamo)","Southern Europe","Europe",5249.040337,46,10
"HGDP00794",-66.6889272780084,153.479409020481,"HGDP00794","F","Orcadian","Orkney Islands","Northern Europe","Europe",6636.685091,59,-3
"HGDP00806",-71.7550641569395,384.754616076403,"HGDP00806","F","Orcadian","Orkney Islands","Northern Europe","Europe",6636.685091,59,-3
"HGDP01313",109.552069168661,-52.6992824961816,"HGDP01313","M","Dai","China","China","East Asia",9343.955377,21,100
"HGDP01324",111.747106006887,-212.489260710747,"HGDP01324","F","Lahu","China","China","East Asia",9299.626366,22,100
"HGDP01336",155.035168901588,-294.701136546776,"HGDP01336","F","She","China","China","East Asia",10817.81249,27,119
"HGDP01348",105.480674788035,-34.8559057523696,"HGDP01348","M","Tu","China","China","East Asia",8868.138507,36,101
"HGDP00947",111.081980521398,-6.89751282882919,"HGDP00947","M","Yakut","Siberia","Russia","East Asia",9919.809481,63,129.5
"HGDP00959",124.073052035344,-39.2796230473115,"HGDP00959","F","Yakut","Siberia","Russia","East Asia",9919.809481,63,129.5
"HGDP00748",296.197658324255,-60.0493445324254,"HGDP00748","M","Japanese","Japan","Japan","East Asia",11762.10792,38,138
"HGDP00760",813.810196083043,-22.9973516908265,"HGDP00760","F","Japanese","Japan","Japan","East Asia",11762.10792,38,138
"HGDP00770",415.823693430666,-8.5497772592872,"HGDP00770","M","Japanese","Japan","Japan","East Asia",11762.10792,38,138
"HGDP00713",96.2017978650021,-36.0539300274523,"HGDP00713","F","Cambodian","Cambodia","Southeast Asia","East Asia",10260.54741,12,105
"HGDP00543",6.62995590683542,-86.8628212268523,"HGDP00543","M","Papuan","New Guinea","New Guinea","Oceania",14843.12266,-4,143
