,V1,V2,ID,Gender,Population,Geographic.origin,Geographic.area,region,distance,latitude,longtitude
116,868.219955267162,1553.2256382191,HGDP01414,F,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
117,497.840917317599,-227.894358990834,HGDP01036,M,San ,Namidia,Central Africa,Africa,3872.417228,-21,20
118,-304.779557422693,514.84133238968,HGDP01255,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
119,14.4600765442772,-786.815039427291,HGDP01267,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
120,48.2090889059959,-81.3396514500269,HGDP01279,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
121,384.229795227823,-790.392480079074,HGDP00615,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
122,-4056.83849376456,1662.31238941162,HGDP00627,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
123,-1495.86364230357,627.143572137849,HGDP00638,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
124,-3095.84373134624,1182.04454577906,HGDP00649,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
125,-354.805254190939,-1305.433191131,HGDP00561,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
126,-1001.08539048249,-1463.24520729132,HGDP00573,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
127,-476.810124588426,-738.320721522837,HGDP00585,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
128,-952.996360147566,-1937.8904793236,HGDP00599,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
129,-2071.13095783226,190.246133933133,HGDP00679,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
130,-2392.51578524905,593.888213897947,HGDP00691,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
131,744.191640637854,-58.3661991862014,HGDP00469,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
132,-507.042643993179,-1111.72950422836,HGDP00455,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
133,19.8917772978119,-446.424193034333,HGDP01087,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
134,-1090.86094938162,-52.567628538657,HGDP00463,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
135,-1967.74844653366,208.219400940442,HGDP00904,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
136,-1418.00159992744,-303.727574357505,HGDP00916,F,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
137,904.806021184092,-896.935782691807,HGDP00920,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
138,946.259755416321,-1003.45620336932,HGDP00932,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
139,774.836517299827,-1078.08704690929,HGDP00942,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
140,1005.2960311478,1517.77461354428,HGDP01415,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
141,2006.32589534084,721.192384279685,HGDP00993,M,Bantu,South Africa,South Africa,Africa,2730.422,-3,37
142,63.1821263609639,-430.062994696058,HGDP01256,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
143,-426.98779969495,-81.3105442271368,HGDP01268,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
144,-744.951813807968,213.240774396048,HGDP01280,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
145,-3102.82761323317,1195.10632588295,HGDP00616,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
146,369.964380598082,-812.139310792241,HGDP00628,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
147,-3115.50764091649,1198.63949866963,HGDP00639,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
148,-2667.35311220637,1003.16983683326,HGDP00650,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
149,-509.111634118664,-1123.25527073986,HGDP00562,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
150,-1063.30459130264,-1489.73877798187,HGDP00574,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
151,-839.558580926952,-1965.21531664097,HGDP00586,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
152,-464.517991059115,-350.130349715912,HGDP00600,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
153,-709.001180036376,-713.383372747373,HGDP00680,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
154,-1810.57336109908,512.791413082979,HGDP00692,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
155,843.984271145419,-793.085528185464,HGDP00933,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
156,214.193767497815,55.2981680455227,HGDP00470,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
157,1367.22877207033,305.240830003643,HGDP00457,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
158,-424.978064847444,-921.011158362687,HGDP01088,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
159,322.89238061503,217.719591773107,HGDP00467,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
160,-1909.05005310706,211.869255195345,HGDP00905,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
161,-2717.9396086327,-406.534700654995,HGDP00917,F,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
162,929.122948740807,-957.408455114668,HGDP00921,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
163,1603.07890412045,-764.73416505539,HGDP00943,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
164,968.783979763339,1759.58073868084,HGDP01416,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
165,1588.63684604831,555.554869631199,HGDP00994,M,Bantu,South Africa,South Africa,Africa,2730.422,-3,37
166,767.613635807049,656.382922831015,HGDP01257,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
167,1200.38227869438,73.8300130970182,HGDP01269,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
168,-437.910164577813,209.11886997856,HGDP01281,F,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
169,-637.654637685152,-1160.96679239472,HGDP00617,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
170,-1266.71747024053,-474.009764661381,HGDP00629,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
171,-545.23584365289,777.224465442094,HGDP00640,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
172,-3571.17459883684,1410.26833474216,HGDP00651,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
173,-504.725896941887,-1152.82290189447,HGDP00563,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
174,-841.515355752113,-1470.53988082794,HGDP00575,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
175,-1010.77757631552,-1512.31033699483,HGDP00587,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
176,-754.735970903301,-1444.2192643624,HGDP00601,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
177,-1293.69657341137,-328.957304387882,HGDP00681,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
178,-2027.20168396842,253.181026100801,HGDP00693,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
179,609.358492588074,-108.458336066453,HGDP00473,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
180,-218.073616800511,841.633584692851,HGDP00459,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
181,-55.6346029113457,289.261014312547,HGDP01090,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
182,312.07152305426,430.901603273414,HGDP00471,F,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
183,-2149.580842254,-324.843970583843,HGDP00907,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
184,-1911.97235478995,200.761251244307,HGDP00919,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
185,798.697334338972,-731.312534772477,HGDP00923,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
186,432.781417190926,-469.486679231206,HGDP00935,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
187,501.240521168987,1577.75394619413,HGDP01418,M,Bantu,Kenya,Central Africa,Africa,2730.422,-3,37
188,2006.30020366833,721.172105204458,HGDP01034,M,Bantu,South Africa,South Africa,Africa,2730.422,-3,37
189,92.1439330569628,686.913188995984,HGDP01259,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
190,-480.897505003352,668.472592458521,HGDP01271,M,Mozabite,Algeria (Mzab),Northern Africa,Middle East,4418.170045,32,3
191,-3089.74022808165,1178.86001033164,HGDP00607,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
192,-656.239398937086,-743.865764079324,HGDP00619,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
193,-3104.82757978284,1194.63333227138,HGDP00631,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
194,286.80731762058,-631.202776942881,HGDP00642,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
195,-3109.93780301362,1196.3295422872,HGDP00653,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
196,-511.378917103329,-1088.96558844077,HGDP00565,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
197,-548.162259714723,-1571.50308668146,HGDP00577,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
198,-455.13051415866,-545.265722202705,HGDP00603,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
199,-1354.82651316992,257.838547750121,HGDP00683,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
200,-1494.1538752648,-405.604662347036,HGDP00695,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
201,-1013.21930590402,769.977887915325,HGDP00472,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
202,426.425826640083,270.440969196995,HGDP00458,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
203,362.154998593857,338.339466998423,HGDP01089,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
204,717.862816327628,136.619230525265,HGDP00468,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
205,-2321.44557039071,883.833051900983,HGDP00906,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
206,-2088.94085605607,-359.446939803282,HGDP00918,F,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
207,583.571311254405,-429.109816714462,HGDP00922,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
208,351.553431994838,-579.13227059613,HGDP00934,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
209,-3108.77344270589,1197.01389023872,HGDP00641,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
210,-487.285556965305,-1120.09908705697,HGDP00564,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
211,-291.964598636971,101.235373126343,HGDP00576,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
212,-1019.47123215266,-2020.72089005484,HGDP00588,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
213,-631.169675169415,-1049.83668702559,HGDP00602,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
214,-1340.13887923528,-147.142318899467,HGDP00682,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
215,-1319.85537815795,-318.34296922333,HGDP00694,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
216,-1502.23615166589,19.0125260000663,HGDP00725,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
217,-1330.15015101219,-864.556412628074,HGDP00736,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
218,-1309.55647676231,-777.375040788432,HGDP00001,M,Brahui,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
219,-830.500838803987,-769.227161861931,HGDP00025,M,Brahui,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
220,-1306.61893050367,-649.133203678477,HGDP00049,M,Brahui,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
221,-755.497519954435,-346.614900434178,HGDP00072,M,Balochi,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
222,-1302.03823833973,-511.053094725901,HGDP00096,M,Balochi,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
223,-498.373015322221,658.423359147719,HGDP00475,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
224,877.00653623376,375.123995216989,HGDP00460,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
225,-1094.54869955974,409.927587478367,HGDP01091,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
226,-183.741930470505,418.167374926176,HGDP00474,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
227,-1081.813797337,-174.7545377457,HGDP00908,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
228,-2547.59161053483,188.308289053668,HGDP01199,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
229,754.015395677693,-1046.04839280983,HGDP00924,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
230,895.848291234231,-866.296942611509,HGDP00936,M,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
231,-3564.96260803618,1411.74078093529,HGDP00643,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
232,177.858038591576,-803.403624068648,HGDP00654,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
233,-812.087211826717,-940.933758549937,HGDP00566,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
234,-1102.24007370071,-1361.78111390738,HGDP00578,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
235,-1149.62924455944,-1972.17757628868,HGDP00590,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
236,-907.544366794127,-2017.24754762967,HGDP00604,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
237,-1073.17243726449,-303.367651124181,HGDP00684,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
238,-1243.19887649148,206.796886122104,HGDP00696,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
239,-2066.71527887466,718.771892160959,HGDP00727,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
240,-2168.58108857012,760.522346812373,HGDP00738,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
241,-1336.12954068022,-1174.40705877843,HGDP00005,M,Brahui,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
242,-1261.03576541954,-790.834545925534,HGDP00029,M,Brahui,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
243,-1335.20479032189,-687.03427449662,HGDP00054,M,Balochi,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
244,-1286.97975554735,-559.412092962122,HGDP00076,M,Balochi,Pakistan,Pakistan,Central/South Asia,5842.077841,30.5,66.5
245,-655.46734914285,-17.9541647526382,HGDP00099,M,Hazara,Pakistan,Pakistan,Central/South Asia,6132.580278,33.5,70
246,-1533.76535705608,240.223916206122,HGDP00113,M,Hazara,Pakistan,Pakistan,Central/South Asia,6132.580278,33.5,70
247,1348.22672208862,189.798377293617,HGDP00477,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
248,1512.10569893542,1317.75033377942,HGDP00980,F,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
249,-635.587030199013,-46.2460594371479,HGDP00476,F,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
250,-1459.42525821587,-241.191288098151,HGDP00909,F,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
251,-2071.87276903615,-358.082198727847,HGDP01200,M,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
252,488.880584216132,-469.490117702099,HGDP00925,F,Yoruba,Nigeria,Central Africa,Africa,3629.688739,8,5
253,-1216.1109949134,-392.632093286739,HGDP00644,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
254,-3588.57867236133,1439.52286788804,HGDP00701,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
255,-598.406501121616,-1728.95506883282,HGDP00567,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
256,-512.68442813929,-1164.449385426,HGDP00579,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
257,-1071.30139678022,-1912.2543041172,HGDP00591,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
258,-1150.77190520054,-1975.72502329674,HGDP00605,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
259,-1610.88186056462,527.621863117042,HGDP00685,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
260,-870.241648661623,-1486.77168165462,HGDP00560,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
