,V1,V2,ID,Gender,Population,Geographic.origin,Geographic.area,region,distance,latitude,longtitude
HGDP00899,-28.9640452130602,89.2709766775428,HGDP00899,F,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP01043,156.423205200444,-45.8279922970047,HGDP01043,M,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP01055,139.266952854693,-39.1271846814501,HGDP01055,M,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP00859,136.076058287414,-39.2838787427734,HGDP00859,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00871,88.6417352437761,-6.68628460840087,HGDP00871,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00705,158.686522825181,-48.881633156659,HGDP00705,M,Colombian,Colombia,South America,America,22857.10218,3,-68
HGDP01398,-44.4244660220818,95.351271795921,HGDP01398,F,Adygei,Russia Caucasus,Russia,Europe,4155.030463,44,39
HGDP00883,-24.2840471541354,87.9211055971126,HGDP00883,M,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP00895,-23.4918655141994,84.2503598580818,HGDP00895,M,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP01039,143.358514319885,-36.1242392316127,HGDP01039,M,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP01051,144.618077020634,-40.823603068151,HGDP01051,F,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP00855,148.911829763764,-40.8853149056624,HGDP00855,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00867,126.995161063428,-26.5035340150323,HGDP00867,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP01403,-44.422077363966,96.2031896491004,HGDP01403,M,Adygei,Russia Caucasus,Russia,Europe,4155.030463,44,39
HGDP00888,-31.0375362552453,91.6805701130503,HGDP00888,M,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP00900,-32.7212355076022,94.4612406879287,HGDP00900,M,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP01044,156.712927480724,-46.0971889343279,HGDP01044,F,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP01056,155.449019154365,-47.6189699627185,HGDP01056,F,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP00860,78.6364368915225,-4.95313615435015,HGDP00860,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00872,139.434130807475,-38.1901413082063,HGDP00872,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00706,157.934446910184,-49.1849515344963,HGDP00706,F,Colombian,Colombia,South America,America,22857.10218,3,-68
HGDP00901,-23.761657525131,89.1774069607745,HGDP00901,F,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP01045,155.560202776814,-46.1858068782697,HGDP01045,M,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP01057,149.949357666641,-45.1312706722108,HGDP01057,M,Pima,Mexico,Central America,America,18015.789,29,-108
HGDP00861,110.692762082263,-28.5530366799453,HGDP00861,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00873,142.870216956661,-38.5498328686553,HGDP00873,F,Maya,Mexico,Central America,America,19825.71383,19,-91
HGDP00707,155.348620915242,-48.270681313996,HGDP00707,F,Colombian,Colombia,South America,America,22857.10218,3,-68
HGDP01404,-33.8191756631189,84.0856261067312,HGDP01404,M,Adygei,Russia Caucasus,Russia,Europe,4155.030463,44,39
HGDP00889,-28.847737400355,88.3167586533615,HGDP00889,F,Russian,Russia,Russia,Europe,6066.983867,61,40
HGDP01151,-52.6153505100753,107.071567502956,HGDP01151,M,North Italian,Italy (Bergamo),Southern Europe,Europe,5249.040337,46,10
HGDP01330,125.66480363546,-61.2575177068868,HGDP01330,M,She,China,China,East Asia,10817.81249,27,119
HGDP00528,-48.1712530870419,100.248292007902,HGDP00528,M,French,France,Southern Europe,Europe,5857.478333,46,2
HGDP00719,103.509685060545,-48.7268413938634,HGDP00719,F,Cambodian,Cambodia,Southeast Asia,East Asia,10260.54741,12,105
HGDP01161,-54.5864714157801,106.774767295476,HGDP01161,M,Tuscan,Italy,Southern Europe,Europe,5118.374166,43,11
HGDP00828,124.059941899364,-59.1494843812584,HGDP00828,M,Japanese,Japan,Japan,East Asia,11762.10792,38,138
HGDP00965,106.494300392352,-36.9810495838539,HGDP00965,M,Yakut,Siberia,Russia,East Asia,9919.809481,63,129.5
HGDP00516,-49.7825028778813,104.346528684951,HGDP00516,F,French,France,Southern Europe,Europe,5857.478333,46,2
HGDP01365,-54.5146402015341,109.446895766825,HGDP01365,F,French Basque,France,Southern Europe,Europe,6012.260603,43,0
HGDP00766,126.644914426945,-57.0060952422223,HGDP00766,M,Japanese,Japan,Japan,East Asia,11762.10792,38,138
HGDP00657,53.549913565025,-42.3363754492878,HGDP00657,F,NAN Melanesian,Bougainville,Southern Europe,Oceania,16168.51405,-6,155
HGDP01354,113.067955524716,-50.0995031305789,HGDP01354,F,Tu,China,China,East Asia,8868.138507,36,101
HGDP00798,-46.4246512390057,102.617688647438,HGDP00798,M,Orcadian,Orkney Islands,Northern Europe,Europe,6636.685091,59,-3
HGDP01342,119.949374395962,-56.5573597282718,HGDP01342,M,Naxi,China,China,East Asia,9131.367263,26,100
HGDP00824,52.2847116050954,-41.8495260158226,HGDP00824,M,NAN Melanesian,Bougainville,Southern Europe,Oceania,16168.51405,-6,155
HGDP01319,118.005569173832,-52.4552952398253,HGDP01319,M,Lahu,China,China,East Asia,9299.626366,22,100
HGDP01357,-54.9213592290857,107.503088143352,HGDP01357,M,French Basque,France,Southern Europe,Europe,6012.260603,43,0
HGDP00549,37.3773977472318,-38.8948039002265,HGDP00549,M,Papuan,New Guinea,New Guinea,Oceania,14843.12266,-4,143
HGDP00953,66.1928877222934,-0.122044002963799,HGDP00953,M,Yakut,Siberia,Russia,East Asia,9919.809481,63,129.5
HGDP01070,-61.6456939406929,109.018424159515,HGDP01070,F,Sardinian,Italy,Southern Europe,Europe,5305.809561,40,9
HGDP01376,-54.3072283422029,111.325819927297,HGDP01376,M,French Basque,France,Southern Europe,Europe,6012.260603,43,0
HGDP00671,-60.9612609031725,111.939334202841,HGDP00671,M,Sardinian,Italy,Southern Europe,Europe,5305.809561,40,9
HGDP01024,124.794217519155,-54.8329678636556,HGDP01024,F,Han,China,China,East Asia,10133.39558,32.3,114
