,0,1,2,3,4,5,6,7,8,9
0,-0.045301274,-0.273107952,-0.068684997,-0.125174122,-0.03131475,-0.105156564,0.113899846,-0.21537171,0.075659468,0.177368359
1,-0.136206315,-0.119408352,-0.00305272,0.288109222,0.093077076,-0.181337749,-0.057756382,-0.226055682,0.288391118,0.008030752
2,0.326313381,0.203620253,0.290457536,0.278365191,-0.869776904,0.594822065,0.010874978,0.294066975,0.028291183,0.135356924
3,0.348510346,-0.077677961,0.105886461,-0.002808187,0.051935331,-0.101075691,0.386282936,0.186870953,-0.015690287,-0.27983863
4,-0.150378875,-0.139799128,0.184207353,0.180297333,0.186111757,0.123889706,-0.273584707,-0.209754024,0.059719149,0.333091055
5,-0.193233471,0.132155861,0.105667101,-0.928181484,-0.279794179,0.14314301,-0.331714209,0.006279102,-0.431105771,0.036199614
6,0.008558708,0.167305244,-0.386810406,-0.055887035,-0.271132581,-0.032891916,-0.00735073,0.009828521,0.332874502,-0.29262086
7,-0.121196176,-0.085648901,-0.251047989,-0.027362878,0.382803903,-0.392059295,0.073218833,0.034173896,0.159247718,-0.023135954
8,0.16798996,0.348179765,-0.221094373,-0.368923208,0.159340221,-0.0296219,-0.196428247,0.168749088,-0.512136505,-0.221896124
9,0.461216284,-0.090523003,-0.479574727,0.076975004,-0.050224742,-0.080498322,-0.706963144,0.355461646,-0.04501197,-0.112772154
10,0.540173681,-0.302652778,0.145912157,0.192473237,0.137860957,0.212545255,0.04063241,-0.103420331,-0.025588276,-0.320576997
11,0.200492139,-0.0315617,-0.140300127,-0.188806909,0.194682458,-0.048064022,0.138637735,-0.10277821,0.308374288,-0.332748782
12,0.127653055,0.551767127,-0.232763974,-0.213356796,-0.140345583,0.093121285,0.059264977,0.116066865,-0.375352058,-0.180177316
13,0.315139259,0.421228279,-0.089156676,-0.385019332,0.178927217,-0.327115532,-0.110456319,0.148670365,-0.634235938,0.07260845
14,-0.065921003,0.070582468,0.546465695,0.122531544,0.193138753,-0.236819298,-0.090759283,-0.253714101,0.081313843,0.209266126
15,0.328102244,0.318220191,-0.416389193,-0.227992332,-0.508481688,-0.259879112,-0.161642342,-0.282165238,-0.009985337,-0.199363723
16,0.671586877,-0.401659227,-0.215970844,0.117504556,-0.351072948,0.199380809,-0.074671619,-0.141879732,-0.062398262,0.215255901
17,0.279886631,0.014405052,-0.575577216,-0.132168159,-0.612229357,-0.001192531,-0.103916257,0.393305454,-0.414967966,-0.828346365
18,-0.036472341,0.495195308,0.022083605,0.112104331,-0.179050337,-0.33758613,0.233202906,0.486849327,-0.439279024,0.02059966
19,-0.339949106,0.710904607,-0.334506552,-0.51085259,0.283515193,0.065868818,0.150787117,0.931789863,-0.046232468,-0.003576138
20,0.266326087,0.163841623,0.06644862,0.089977265,-0.420906093,-0.148741444,-0.251926192,0.468311045,0.51459818,0.497239465
21,-0.097169277,-0.068493825,0.538149099,-0.090656317,0.246354237,0.058316328,0.244073664,-0.353463905,0.35931828,-0.052559127
22,0.119220342,0.014532684,-0.472947594,-0.238740403,-0.103138816,0.347700461,0.188344962,0.216426221,-0.424992165,-0.167462662
23,0.41037799,-0.100498336,-0.414489471,0.140297706,-0.149757894,-0.225188635,-0.156606101,-0.370242379,0.082533359,-0.355052862
24,0.071569654,0.593711222,0.181027948,0.134258718,-0.057205911,-0.255141822,-0.185419337,-0.275136816,-0.424559779,0.17855141
25,0.487648572,-0.002377597,0.455481073,-0.28131576,0.152928941,0.217589496,0.220057959,0.112460324,-0.028472088,-0.06402353
26,-0.469898249,-0.383282456,0.1433511,0.410603446,-0.144383672,-0.314976502,-0.445988058,-0.134620985,-0.237827868,-0.020071939
27,-0.120211438,0.010609118,0.320849371,0.017025033,0.110856861,-0.014055193,0.114343032,-0.188846253,0.175381917,0.132087693
28,-0.030192241,-0.047537682,0.143115219,0.577787902,-0.245967336,0.476822324,-0.328260736,0.171575525,0.345135378,0.403037589
29,-0.25087883,0.062018994,-0.088306713,-0.251579704,0.160174436,0.269919721,-0.268290566,0.278460629,-0.223893612,-0.265812462
30,-0.251419413,-0.144222528,0.434752895,-0.006211224,-0.177566174,-0.017820289,0.101965198,-0.281775676,0.162220828,-0.253996733
31,-0.049081511,0.072740529,-0.663052727,-0.17119754,-0.303059151,0.415373004,-0.050271887,0.2620058,-0.335715254,-0.593832115
32,0.295058066,-0.025229561,0.200134055,0.275257875,-0.186987133,0.102739619,-0.207011247,0.105418795,-0.189318865,-0.158269716
33,0.113344897,-0.548776464,0.830835048,0.630282709,0.161517448,0.099724229,-0.404537745,-0.013992353,0.423701623,0.560771644
34,0.309718925,-0.73448258,0.035444555,0.305141047,0.680694205,-0.239064711,-0.061799032,0.308836684,0.006989563,0.481247768
35,0.242746789,0.096427573,-0.06598181,0.080824184,-0.046488122,0.069096798,-0.243633573,0.147740083,0.067354245,0.415756521
36,0.097763701,0.261527144,-0.431546721,0.394360384,-0.123321774,-0.05789312,-0.625547284,0.466052808,-0.23313801,-0.018072057
37,-0.239094333,-0.324065091,0.134330816,0.330486958,0.115593841,0.122190456,-0.139055242,-0.069740998,0.539398223,0.574378293
38,-0.057651037,-0.302772142,-0.092604563,-0.41724099,-0.112551863,0.609175766,-0.578291401,0.034045398,0.092035728,-0.226461267
39,-0.21025349,0.051993993,-0.29460937,0.242928004,-0.074381241,-0.608762642,-0.764255795,0.025217108,0.381250631,0.306551122
40,-0.015452319,-0.135801251,-0.023874684,0.173890991,-0.368847495,0.911723541,0.286779722,0.329589971,-0.137206168,0.034701129
41,0.794731449,0.029290014,-0.051853424,-0.490009071,-0.278824593,0.622455514,0.196871068,0.103591289,0.15351959,-0.100557835
42,-0.39029375,0.145801208,-0.1139509,0.141028718,-0.129805156,-0.120181672,-0.258504214,0.24330414,0.231637687,0.134823815
43,-0.388728748,0.297080486,0.303022022,-0.219395376,0.449093072,0.212388406,-0.038528503,0.000337092,-0.059790823,-0.120430902
44,0.061931491,0.375800171,0.04942527,-0.402029444,-0.036765712,-0.181328975,-0.137577711,0.126947451,-0.00676512,-0.359202069
45,-0.073723456,0.345287821,-0.363555865,0.239581648,-0.125545508,0.023573888,-0.375208157,0.47595204,-0.302688401,-0.551381806
46,0.45233336,-0.045772541,-0.675963779,0.061622484,0.450837211,0.184220952,0.260439839,0.045295846,-0.130656083,-0.189167123
47,0.070055314,0.190648323,-0.003265671,-0.391707869,-0.198843257,-0.136821525,-0.082438754,-0.108822765,-0.325759807,-0.127786404
